rate_date,eur_to_usd,chf_to_usd
2020-01-02,1.1084971022,1.0114393794
2020-01-03,1.120187592,1.0217426843
2020-01-06,1.1172788533,1.0194615204
2020-01-07,1.119151457,1.0213565658
2020-01-08,1.1156680617,1.0207206288
2020-01-09,1.111469046,1.0162188529
2020-01-10,1.1107145036,1.016942258
2020-01-13,1.1124076749,1.017356095
2020-01-14,1.1136915078,1.0194719135
2020-01-15,1.1129679281,1.0233529135
2020-01-16,1.1151639555,1.0263252425
2020-01-17,1.1136121252,1.0254727429
2020-01-20,1.1097654532,1.0228818674
2020-01-21,1.1095943678,1.0232900823
2020-01-22,1.1081343131,1.0206164523
2020-01-23,1.1090044485,1.022651736
2020-01-24,1.1055039314,1.0211375472
2020-01-27,1.1028373858,1.0199086162
2020-01-28,1.1021220159,1.0201999592
2020-01-29,1.1014635634,1.0163634516
2020-01-30,1.1010555459,1.0178842258
2020-01-31,1.1025405571,1.0203040506
2020-02-03,1.1082946469,1.0270736617
2020-02-04,1.1060030512,1.0238872905
2020-02-05,1.1033884466,1.0206164523
2020-02-06,1.09975909,1.0164977586
2020-02-07,1.0985984206,1.0163737816
2020-02-10,1.0953277651,1.0124019236
2020-02-11,1.091148231,1.0117463754
2020-02-12,1.091559661,1.0150738466
2020-02-13,1.0872082431,1.0121662382
2020-02-14,1.0836734694,1.0103051121
2020-02-17,1.0839555435,1.007627742
2020-02-18,1.0828799548,1.0093771134
2020-02-19,1.0799367834,1.0066337162
2020-02-20,1.0794849336,1.0067755998
2020-02-21,1.079189483,1.0066033178
2020-02-24,1.0824072577,1.0102642851
2020-02-25,1.0862457894,1.0115621554
2020-02-26,1.0871023643,1.0134073796
2020-02-27,1.0911170067,1.0164770937
2020-02-28,1.0988264613,1.0213565658
2020-03-02,1.1056047319,1.0268838184
2020-03-03,1.1140887575,1.0335062734
2020-03-04,1.1166554561,1.034821752
2020-03-05,1.1144974947,1.0352395544
2020-03-06,1.1232881018,1.047833604
2020-03-11,1.132353252,1.0568813545
2020-03-12,1.1320050077,1.06096293
2020-03-13,1.1201761283,1.0483828694
2020-03-16,1.1102479459,1.0413520916
2020-03-17,1.1176636363,1.0437650694
2020-03-18,1.1012933702,1.0313956846
2020-03-19,1.0882779173,1.0205539567
2020-03-20,1.0735767395,1.0088679493
2020-03-23,1.0723358819,1.00732324
2020-03-24,1.0810545789,1.010907694
2020-03-25,1.081851253,1.0105092967
2020-03-26,1.0913571966,1.0163221335
2020-03-27,1.1065336072,1.0320023942
2020-03-30,1.1093717539,1.0387667761
2020-03-31,1.1019623606,1.0306515779
2020-04-03,1.0853943545,1.0161155933
2020-04-06,1.0817710128,1.0133971098
2020-04-07,1.0805909395,1.0125761964
2020-04-08,1.0871971542,1.0192537024
2020-04-09,1.0858463951,1.0184647662
2020-04-14,1.0936560849,1.0256936253
2020-04-15,1.0985051546,1.0309278351
2020-04-16,1.0876789131,1.0230911677
2020-04-17,1.0871339169,1.022578534
2020-04-20,1.0864523254,1.0226203624
2020-04-21,1.0847686041,1.0209394685
2020-04-22,1.0850219365,1.0203040506
2020-04-23,1.0818070694,1.0186411327
2020-04-24,1.0765956584,1.0134381904
2020-04-27,1.0825647023,1.0169319164
2020-04-28,1.0824305133,1.0144045445
2020-04-29,1.0847842235,1.0175734942
2020-04-30,1.0865886607,1.0157027647
2020-05-01,1.0941387437,1.0246951532
2020-05-04,1.0950086306,1.0274535591
2020-05-05,1.0909585107,1.0256936253
2020-05-06,1.0838973649,1.0178013455
2020-05-07,1.0800962495,1.0152902715
2020-05-08,1.0849906268,1.0188279403
2020-05-11,1.084988726,1.020272821
2020-05-13,1.0854889461,1.0216174247
2020-05-14,1.0810271854,1.0174181996
2020-05-15,1.0805296774,1.0170456857
2020-05-18,1.0823160169,1.0190148165
2020-05-19,1.0911563379,1.0186203806
2020-05-20,1.0943923898,1.0206789556
2020-05-22,1.0946360661,1.0195654612
2020-05-25,1.0894043108,1.0186203806
2020-05-26,1.0913151668,1.0198254059
2020-05-27,1.0966624653,1.0247266542
2020-05-28,1.1029635919,1.0229865068
2020-05-29,1.1087492805,1.027875997
2020-06-02,1.1128161819,1.0299085441
2020-06-03,1.118757851,1.0296328329
2020-06-04,1.1221487978,1.029314888
2020-06-05,1.1329880354,1.0358937173
2020-06-08,1.1293315368,1.0285632001
2020-06-10,1.1338611348,1.0403445621
2020-06-11,1.1390393416,1.0496704035
2020-06-12,1.128721587,1.0479653752
2020-06-15,1.125907814,1.0404744564
2020-06-16,1.1328895335,1.0434165632
2020-06-17,1.1266348285,1.0404636306
2020-06-18,1.1234728766,1.0424050369
2020-06-22,1.118801481,1.0400199684
2020-06-23,1.1240154811,1.043198865
2020-06-24,1.1319047669,1.0483608878
2020-06-25,1.1250665414,1.0437868587
2020-06-26,1.1219400165,1.043917614
2020-06-29,1.1234435066,1.0446264416
2020-06-30,1.1246890321,1.0408968367
2020-07-01,1.1237219028,1.0454783063
2020-07-02,1.1254263177,1.0461783106
2020-07-03,1.1244633845,1.0470546353
2020-07-07,1.1314982139,1.0506408909
2020-07-08,1.1274428471,1.0501223393
2020-07-09,1.1339061411,1.0555426545
2020-07-10,1.1278097422,1.0518454629
2020-07-13,1.1320798441,1.0533522937
2020-07-14,1.1343708623,1.0508396209
2020-07-15,1.1411796919,1.053108249
2020-07-16,1.1412158978,1.0472849139
2020-07-17,1.1378209824,1.0463972543
2020-07-20,1.1416508739,1.0528532323
2020-07-21,1.145913104,1.0548189403
2020-07-22,1.1538404358,1.0619205896
2020-07-23,1.157421513,1.0653144276
2020-07-24,1.1614713284,1.0708357873
2020-07-27,1.1691885197,1.0769479296
2020-07-28,1.1757817541,1.0753150673
2020-07-29,1.1721468768,1.0780741284
2020-07-30,1.1773600859,1.0839755889
2020-07-31,1.1886016131,1.0913813614
2020-08-03,1.1771382202,1.0819583446
2020-08-04,1.1757859229,1.0777139532
2020-08-05,1.1810285937,1.0843282045
2020-08-06,1.187143044,1.0899420151
2020-08-07,1.1867297033,1.0868383871
2020-08-10,1.1795191567,1.084445794
2020-08-11,1.1744686372,1.0811044563
2020-08-12,1.172628221,1.0777139532
2020-08-13,1.180757859,1.0870037828
2020-08-14,1.1812295974,1.0881392818
2020-08-17,1.1844671819,1.088494612
2020-08-18,1.1888806264,1.0935654608
2020-08-19,1.1938749795,1.0957102942
2020-08-20,1.184487235,1.081782778
2020-08-21,1.1867296407,1.0907742315
2020-08-24,1.1801947523,1.0855759523
