licence_id,license_type_label,amount_source,deal_currency_code,warranty_service_start_date,warranty_service_expiration_date,license_type_detail
58135128490,Drone Operating System & Apps,,,2026-07-01,2029-06-30,
58065254281,Drone Operating System & Apps,0,,2026-06-30,2029-06-29,
57951615003,LIDAR,0,EUR,2026-06-30,2029-06-29,PC Master Perpetual License
57951676727,Drone Operating System & Apps,0,EUR,2026-06-30,2029-06-29,
57780661357,LIDAR,0,EUR,2026-06-26,2029-06-25,PC Master Perpetual License
57832175683,Drone Operating System & Apps,8800,USD,2026-06-30,2029-06-29,
57832139829,Drone Operating System & Apps,8800,USD,2026-06-30,2029-06-29,
57737955979,Drone Operating System & Apps,3060,EUR,2026-06-26,2029-06-25,
57740597561,Drone Operating System & Apps,0,,,,
57719403541,Drone Operating System & Apps,0,USN,,,
57721577326,Drone Operating System & Apps,0,USN,,,
57711770148,WingtraCare,0,USN,,,
57618479879,Drone Operating System & Apps,0,USD,2026-06-26,2029-06-25,
57477395638,LIDAR,22100,,2026-06-23,2029-06-22,PC Master Perpetual License
57477514796,LIDAR,22100,EUR,2026-06-23,2029-06-22,PC Master Perpetual License
57573285029,Drone Operating System & Apps,7200,EUR,,,
57438271827,Drone Operating System & Apps,0,EUR,2026-06-26,2029-06-25,
57387724575,WingtraCare,8925,USD,,,
57373522264,Drone Operating System & Apps,7200,,,,
57376972815,Drone Operating System & Apps,7200,,,,
57385955696,Drone Operating System & Apps,7200,,,,
57342117265,WingtraCare,8925,USD,2026-06-20,2027-06-20,
57337113441,Drone Operating System & Apps,0,USD,,,
57339423857,Drone Operating System & Apps,0,USD,,,
57225451784,LIDAR,0,USN,,,PC Master Perpetual License
57227574144,LIDAR,0,USN,,,PC Master Perpetual License
57225228092,LIDAR,0,USN,,,PC Master Perpetual License
57225211393,WingtraPilot BLU,0,USN,,,Blue 1 year
57217064753,Drone Operating System & Apps,0,USD,,,
57214830164,Drone Operating System & Apps,7200,EUR,,,
57177054369,Drone Operating System & Apps,9000,,2026-06-22,2029-06-21,
57177950526,WingtraCare,9900,USD,,,
57103106697,Drone Operating System & Apps,0,,,,
57064889703,LIDAR,0,USN,2026-06-11,2029-06-10,PC Master Perpetual License
57064153355,LIDAR,0,USN,2026-06-22,2029-06-21,PC Master Perpetual License
57064976261,LIDAR,0,USN,,,PC Master Perpetual License
57024962192,Drone Operating System & Apps,7200,,,,
57022598290,Drone Operating System & Apps,7200,,,,
56958172803,LIDAR,34000,,2026-06-08,2029-06-07,PC Master Perpetual License
56958172801,Drone Operating System & Apps,10720,,,,
56959649313,Drone Operating System & Apps,10720,,,,
56959562052,Drone Operating System & Apps,10720,,,,
56958022780,Drone Operating System & Apps,10720,,,,
56958111258,Drone Operating System & Apps,10720,,2026-06-30,2029-06-29,
56942104194,Drone Operating System & Apps,10720,,,,
56957372262,Drone Operating System & Apps,8800,USD,2026-06-23,2029-06-22,
56957174651,Drone Operating System & Apps,8800,USD,2026-06-26,2029-06-25,
56939806566,Drone Operating System & Apps,8800,USD,2026-06-26,2029-06-25,
56943891638,WingtraCare,7425,USD,2026-02-05,2027-02-05,
56943899751,Drone Operating System & Apps,7200,EUR,2026-06-23,2029-06-22,
56871109763,LIDAR,0,USN,,,PC Master Perpetual License
56871071109,LIDAR,0,USN,,,PC Master Perpetual License
56872647749,LIDAR,0,USN,,,PC Master Perpetual License
56835388268,LIDAR,0,USN,,,PC Master Perpetual License
56834627121,LIDAR,0,USN,,,PC Master Perpetual License
56788695592,WingtraCare,0,USN,,,
56788710556,WingtraCare,0,USN,,,
56740118279,Drone Operating System & Apps,0,USD,,,
56738698367,Drone Operating System & Apps,0,USD,,,
56690158260,Drone Operating System & Apps,8800,USD,2026-06-10,2029-06-09,
56733892628,Drone Operating System & Apps,8800,USD,2026-06-11,2029-06-10,
56682350391,Drone Operating System & Apps,8800,USD,2026-06-28,2029-06-27,
56683786113,Drone Operating System & Apps,8800,USD,2026-06-28,2029-06-27,
56547756596,Drone Operating System & Apps,8800,USD,,,
56549864273,WingtraCare,8925,USD,2026-02-18,2027-02-18,
56547979919,Drone Operating System & Apps,0,USN,,,
56548017035,Drone Operating System & Apps,0,USN,,,
56547817590,Drone Operating System & Apps,0,USN,,,
56533222942,WingtraCare,11900,USD,2026-05-28,2029-05-27,
56533183408,WingtraCare,11900,USD,2026-05-28,2029-05-27,
55974982151,LIDAR,30000,,2026-06-03,2029-06-02,PC Master Perpetual License
56507056998,Drone Operating System & Apps,0,USN,,,
56473693966,Drone Operating System & Apps,0,USN,,,
56469460575,Drone Operating System & Apps,0,USN,,,
56474813194,LIDAR,34000,USN,2026-05-26,2029-05-25,PC Master Perpetual License
56469773325,WingtraPilot BLU,0,USN,2026-05-26,2029-05-25,Wingtra Pilot Blue Perpetual
56443741843,Drone Operating System & Apps,8800,USD,2026-06-30,2029-06-29,
56449893802,Drone Operating System & Apps,8800,USD,,,
56420908952,LIDAR,0,,,,
56011497035,Drone Operating System & Apps,8800,USD,,,
55874241890,Drone Operating System & Apps,0,USD,,,
55886051253,Drone Operating System & Apps,8800,USD,2026-06-09,2029-06-08,
55870005542,LIDAR,0,USN,,,PC Master Perpetual License
55891537286,Drone Operating System & Apps,0,USN,,,
55888928574,Drone Operating System & Apps,0,USN,,,
55873263146,Drone Operating System & Apps,0,USN,,,
55882786838,Drone Operating System & Apps,10720,,2026-05-29,2029-05-28,
55884642458,WingtraCare,10950,USD,,,
55744904580,LIDAR,0,USN,,,PC Master Perpetual License
55728537176,WingtraPilot BLU,5100,USD,2026-05-22,2027-05-22,Blue 1 year
54784766861,Drone Operating System & Apps,0,,,,
55022183564,LIDAR,0,USN,2026-05-13,2029-05-12,PC Master Perpetual License
54794187015,Drone Operating System & Apps,10720,,,,
54794506554,Drone Operating System & Apps,10720,,2026-05-19,2029-05-18,
54788508173,Drone Operating System & Apps,10720,,,,
54777937060,Drone Operating System & Apps,10720,,,,
54793106202,Drone Operating System & Apps,10720,,2026-06-30,2029-06-29,
54801959554,Drone Operating System & Apps,10720,,2026-06-16,2029-06-15,
54799801862,Drone Operating System & Apps,10720,,,,
54804230969,Drone Operating System & Apps,10720,,,,
54799340893,Drone Operating System & Apps,10720,,2026-05-12,2029-05-11,
54778579506,Drone Operating System & Apps,10720,,2026-06-22,2029-06-21,
54758932076,WingtraCare,10950,USD,,,
54346165620,LIDAR,34000,USN,,,PC Master Perpetual License
54346642190,Drone Operating System & Apps,10720,USN,,,
54346714451,Drone Operating System & Apps,0,USN,,,
54353004363,Drone Operating System & Apps,10720,USN,,,
54352835680,Drone Operating System & Apps,0,USN,,,
54352630272,WingtraCare,10950,USD,2025-02-14,2026-02-14,
54177504111,Drone Operating System & Apps,10720,USN,,,
53650661890,Drone Operating System & Apps,0,,,,
53706048412,Drone Operating System & Apps,0,,,,
53423939630,Drone Operating System & Apps,0,,2026-04-29,2029-04-29,
53417205661,WingtraCare,10950,USD,2026-04-27,2027-04-27,
53149640523,Drone Operating System & Apps,0,,,,
53101603972,Drone Operating System & Apps,10720,USN,2026-05-13,2029-05-12,
53106012735,Drone Operating System & Apps,10720,USN,2026-04-27,2029-04-26,
53108092241,Drone Operating System & Apps,10720,USN,2026-06-22,2029-06-21,
53108632156,Drone Operating System & Apps,10720,USN,2026-06-24,2029-06-23,
53107114882,Drone Operating System & Apps,10720,USN,2026-05-28,2029-05-27,
53106691641,Drone Operating System & Apps,10720,USN,2026-04-27,2029-04-26,
